page,name,address,phone_number,link_url
https://www.apartments.com/aurora-co-80011/560-to-1198/,Carriage Green Apartments,"15899 E 13th Pl, Aurora, CO 80011",(970) 866-0264,https://www.apartments.com/carriage-green-apartments-aurora-co/pcx7chv/
https://www.apartments.com/tampa-fl-33603/560-to-1198/,New River Apartments,"4009 N Howard Ave, Tampa, FL 33607",(813) 701-3734,https://www.apartments.com/new-river-apartments-tampa-fl/c6vq8qe/
https://www.apartments.com/tampa-fl-33603/560-to-1198/,Buena Vista,"4610 N Armenia Ave, Tampa, FL 33603",(813) 563-0098,https://www.apartments.com/buena-vista-tampa-fl/9p8chz7/
https://www.apartments.com/akron-oh-44302/319-to-478/,The Highland Square,"733 W Market St, Akron, OH 44303",(234) 208-7177,https://www.apartments.com/the-highland-square-akron-oh/9ts2k65/
https://www.apartments.com/akron-oh-44302/319-to-478/,Summit at Glendale,"125 Locust St, Akron, OH 44302",(844) 475-2108,https://www.apartments.com/summit-at-glendale-akron-oh/8ckpq23/
https://www.apartments.com/akron-oh-44302/319-to-478/,Hampshire House,"75 N Portage Path, Akron, OH 44303",(419) 324-2038,https://www.apartments.com/hampshire-house-akron-oh/bhcbj39/
https://www.apartments.com/springfield-oh-45502/400-to-1000/,Ashton Meadows,"3950 Cabot Dr, Springfield, OH 45503",(937) 505-8347,https://www.apartments.com/ashton-meadows-springfield-oh/7qbv2qw/
https://www.apartments.com/springfield-oh-45503/400-to-1000/,Northridge Apartments,"4887 Ridgewood Rd E, Springfield, OH 45503",(937) 342-3352,https://www.apartments.com/northridge-apartments-springfield-oh/eem0zgp/
https://www.apartments.com/springfield-oh-45503/400-to-1000/,Ashton Meadows,"3950 Cabot Dr, Springfield, OH 45503",(937) 215-3684,https://www.apartments.com/ashton-meadows-springfield-oh/7qbv2qw/
https://www.apartments.com/savannah-ga-31401/319-to-478/,The Matadora,"1512 Bull St, Savannah, GA 31401",(912) 324-2604,https://www.apartments.com/the-matadora-savannah-ga/1t806k7/
https://www.apartments.com/savannah-ga-31401/319-to-478/,Drayton Tower,"102 E Liberty St, Savannah, GA 31401",(404) 720-6728,https://www.apartments.com/drayton-tower-savannah-ga/ey88ebn/
https://www.apartments.com/savannah-ga-31401/319-to-478/,Riverworks,"301 Passage Way, Savannah, GA 31401",(978) 300-8285,https://www.apartments.com/riverworks-savannah-ga/rzqgz01/
https://www.apartments.com/savannah-ga-31401/319-to-478/,Olmsted Savannah,"601 Indian St, Savannah, GA 31401",(267) 669-5604,https://www.apartments.com/olmsted-savannah-savannah-ga/0b0m6l0/
https://www.apartments.com/savannah-ga-31401/319-to-478/,The Baxly,"630 Indian St, Savannah, GA 31401",(912) 234-4406,https://www.apartments.com/the-baxly-savannah-ga/80lqcz2/
https://www.apartments.com/savannah-ga-31401/319-to-478/,The Bowery,"515 Montgomery St, Savannah, GA 31401",(912) 755-9932,https://www.apartments.com/the-bowery-savannah-ga/5ynph5m/
https://www.apartments.com/savannah-ga-31401/319-to-478/,Skylark,"701 Montgomery St, Savannah, GA 31401",(912) 659-1177,https://www.apartments.com/skylark-savannah-ga/55lnckn/
https://www.apartments.com/savannah-ga-31401/319-to-478/,Park and Broad,"1020 E Broad St, Savannah, GA 31401",(912) 659-1177,https://www.apartments.com/park-and-broad-savannah-ga/sjf61z7/
https://www.apartments.com/savannah-ga-31401/319-to-478/,The Hue,"646 W Bay St, Savannah, GA 31401",(912) 655-7649,https://www.apartments.com/the-hue-savannah-ga/bns1dvc/
https://www.apartments.com/savannah-ga-31401/319-to-478/,The Matadora,"1512 Bull St, Savannah, GA 31401",(912) 324-2604,https://www.apartments.com/the-matadora-savannah-ga/1t806k7/
https://www.apartments.com/savannah-ga-31401/319-to-478/,Drayton Tower,"102 E Liberty St, Savannah, GA 31401",(404) 720-6728,https://www.apartments.com/drayton-tower-savannah-ga/ey88ebn/
https://www.apartments.com/savannah-ga-31401/319-to-478/,Riverworks,"301 Passage Way, Savannah, GA 31401",(978) 300-8285,https://www.apartments.com/riverworks-savannah-ga/rzqgz01/
https://www.apartments.com/savannah-ga-31401/319-to-478/,Olmsted Savannah,"601 Indian St, Savannah, GA 31401",(267) 669-5604,https://www.apartments.com/olmsted-savannah-savannah-ga/0b0m6l0/
https://www.apartments.com/savannah-ga-31401/319-to-478/,The Baxly,"630 Indian St, Savannah, GA 31401",(912) 234-4406,https://www.apartments.com/the-baxly-savannah-ga/80lqcz2/
https://www.apartments.com/savannah-ga-31401/319-to-478/,The Bowery,"515 Montgomery St, Savannah, GA 31401",(912) 755-9932,https://www.apartments.com/the-bowery-savannah-ga/5ynph5m/
https://www.apartments.com/savannah-ga-31401/319-to-478/,Skylark,"701 Montgomery St, Savannah, GA 31401",(912) 659-1177,https://www.apartments.com/skylark-savannah-ga/55lnckn/
https://www.apartments.com/savannah-ga-31401/319-to-478/,Park and Broad,"1020 E Broad St, Savannah, GA 31401",(912) 659-1177,https://www.apartments.com/park-and-broad-savannah-ga/sjf61z7/
https://www.apartments.com/savannah-ga-31401/319-to-478/,The Hue,"646 W Bay St, Savannah, GA 31401",(912) 655-7649,https://www.apartments.com/the-hue-savannah-ga/bns1dvc/
https://www.apartments.com/savannah-ga-31404/319-to-478/,2800 Capital Square,"2800 Capital St, Savannah, GA 31404",(912) 660-8453,https://www.apartments.com/2800-capital-square-savannah-ga/3yb3wxf/
https://www.apartments.com/savannah-ga-31404/319-to-478/,The Ellis,"3 Woodcock Rd, Savannah, GA 31404",(912) 324-3338,https://www.apartments.com/the-ellis-savannah-ga/wdsrm0k/
https://www.apartments.com/savannah-ga-31404/319-to-478/,Ashley Midtown,"1518 E Park Ave, Savannah, GA 31404",(912) 658-3966,https://www.apartments.com/ashley-midtown-savannah-ga/wksnwxh/
https://www.apartments.com/savannah-ga-31404/319-to-478/,Retreat at Savannah,"2323 Downing Ave, Savannah, GA 31404",(912) 224-4335,https://www.apartments.com/retreat-at-savannah-savannah-ga/5z7c6gp/
https://www.apartments.com/savannah-ga-31404/319-to-478/,Savannah Gardens,"515 Pennsylvania Ave, Savannah, GA 31404",(509) 818-3238,https://www.apartments.com/savannah-gardens-savannah-ga/f7697wt/
https://www.apartments.com/savannah-ga-31404/319-to-478/,River Crossing Apartments,"2612 Dogwood Ave, Thunderbolt, GA 31404",(912) 659-1177,https://www.apartments.com/river-crossing-apartments-thunderbolt-ga/wyz3fyh/
https://www.apartments.com/savannah-ga-31404/319-to-478/,Ascend Midtown,"2200 E Victory Dr, Savannah, GA 31404",(912) 659-1177,https://www.apartments.com/ascend-midtown-savannah-ga/xv1qvcq/
https://www.apartments.com/savannah-ga-31404/319-to-478/,Chelsea at Five Points Apartments,"1910 Skidaway Rd, Savannah, GA 31404",(912) 214-4300,https://www.apartments.com/chelsea-at-five-points-apartments-savannah-ga/ktfsly9/
https://www.apartments.com/savannah-ga-31404/319-to-478/,Savannah Gardens Phase VI,"202 Crescent Dr, Savannah, GA 31404",(912) 898-1600,https://www.apartments.com/savannah-gardens-phase-vi-savannah-ga/7r097xy/
https://www.apartments.com/chesterton-in-46304/560-to-1198/,Traditions Apartment Homes,"331 S Boo Rd, Burns Harbor, IN 46304",(844) 864-8586,https://www.apartments.com/traditions-apartment-homes-burns-harbor-in/q0e6qyz/
https://www.apartments.com/des-plaines-il-60016/560-to-1198/,Glen Oaks Commons,"9700 Sumac Rd, Des Plaines, IL 60016",(866) 902-2747,https://www.apartments.com/glen-oaks-commons-des-plaines-il/kqfp238/
https://www.apartments.com/des-plaines-il-60016/560-to-1198/,Park Ridge Commons,"9030 Kennedy Dr, Des Plaines, IL 60016",(773) 694-2005,https://www.apartments.com/park-ridge-commons-des-plaines-il/cd8kslf/
https://www.apartments.com/des-plaines-il-60016/560-to-1198/,Huntington Square,"1300 S Elmhurst Rd, Mount Prospect, IL 60056",(630) 730-9622,https://www.apartments.com/huntington-square-mount-prospect-il/8psxdx2/
https://www.apartments.com/des-plaines-il-60016/560-to-1198/,Clayton Court Apartments,"730 W Algonquin Rd, Des Plaines, IL 60016",(773) 430-5307,https://www.apartments.com/clayton-court-apartments-des-plaines-il/nnewrwm/
https://www.apartments.com/des-plaines-il-60016/560-to-1198/,Courts of the Fountains,"8642 Golf Rd, Des Plaines, IL 60016",(888) 659-9596,https://www.apartments.com/courts-of-the-fountains-des-plaines-il/glfl56y/
https://www.apartments.com/crown-point-in-46307/560-to-1198/,Cypress Pointe Apartments,"930 Cypress Pointe Dr, Crown Point, IN 46307",(708) 765-4041,https://www.apartments.com/cypress-pointe-apartments-crown-point-in/mn50s7k/
https://www.apartments.com/des-plaines-il-60018/560-to-1198/,Orion Prospect,"475 W Enterprise Dr, Mount Prospect, IL 60056",(877) 456-2562,https://www.apartments.com/orion-prospect-mount-prospect-il/9zzm314/
https://www.apartments.com/crown-point-in-46307/560-to-1198/,Hidden Creek Apartments,"8118 International Dr, Crown Point, IN 46307",(331) 299-4833,https://www.apartments.com/hidden-creek-apartments-crown-point-in/kx20tf9/
https://www.apartments.com/crown-point-in-46307/560-to-1198/,Harvest Grove,"8162 Westwood Ct, Crown Point, IN 46307",(374) 726-7389,https://www.apartments.com/harvest-grove-crown-point-in/4bt4tjl/
https://www.apartments.com/des-plaines-il-60018/560-to-1198/,Clayton Court Apartments,"730 W Algonquin Rd, Des Plaines, IL 60016",(312) 278-3929,https://www.apartments.com/clayton-court-apartments-des-plaines-il/nnewrwm/
https://www.apartments.com/griffith-in-46319/560-to-1198/,Park West Apartments,"1800 Park West Blvd, Griffith, IN 46319",(219) 682-2831,https://www.apartments.com/park-west-apartments-griffith-in/rpwk3r1/
https://www.apartments.com/owensboro-ky-42301/400-to-1000/,Roosevelt House I & II Senior Community,"2920 Yale Pl, Owensboro, KY 42301",(844) 219-3734,https://www.apartments.com/roosevelt-house-i-ii-senior-community-owensboro-ky/pr68m1v/
https://www.apartments.com/owensboro-ky-42301/400-to-1000/,Legion Park & Heartwood Court Apartments,"405 W Legion Blvd, Owensboro, KY 42303",(270) 713-1180,https://www.apartments.com/legion-park-heartwood-court-apartments-owensboro-ky/fl9hf5v/
https://www.apartments.com/owensboro-ky-42303/400-to-1000/,Brushwood Apartments,"3424 New Hartford Rd, Owensboro, KY 42303",(844) 216-6919,https://www.apartments.com/brushwood-apartments-owensboro-ky/3r4j4nd/
https://www.apartments.com/owensboro-ky-42303/400-to-1000/,Legion Park & Heartwood Court Apartments,"405 W Legion Blvd, Owensboro, KY 42303",(270) 215-2258,https://www.apartments.com/legion-park-heartwood-court-apartments-owensboro-ky/fl9hf5v/
https://www.apartments.com/owensboro-ky-42303/400-to-1000/,DREAM Owensboro,"3750 Ralph Ave, Owensboro, KY 42303",(270) 561-6045,https://www.apartments.com/dream-owensboro-owensboro-ky/p3flc9s/
https://www.apartments.com/owensboro-ky-42303/400-to-1000/,Roosevelt House I & II Senior Community,"2920 Yale Pl, Owensboro, KY 42301",(364) 800-4182,https://www.apartments.com/roosevelt-house-i-ii-senior-community-owensboro-ky/pr68m1v/
https://www.apartments.com/pensacola-fl-32501/320-to-838/,Fairfield Manor,"3390 West Park Pl, Pensacola, FL 32501",(850) 968-3553,https://www.apartments.com/fairfield-manor-pensacola-fl/hpj7y72/
https://www.apartments.com/pensacola-fl-32501/320-to-838/,Fairfield Manor,"3390 West Park Pl, Pensacola, FL 32501",(850) 968-3553,https://www.apartments.com/fairfield-manor-pensacola-fl/hpj7y72/
https://www.apartments.com/pensacola-fl-32502/320-to-838/,Southtowne Apartments,"101 E Romana St, Pensacola, FL 32502",(407) 901-2051,https://www.apartments.com/southtowne-apartments-pensacola-fl/9gzrpb4/
https://www.apartments.com/memphis-tn-38103/320-to-838/,Helix At The District - UTILITIES INCLUDED,"141 Manassas St, Memphis, TN 38105",(844) 274-4576,https://www.apartments.com/helix-at-the-district-utilities-included-memphis-tn/brgzxk9/
https://www.apartments.com/memphis-tn-38103/320-to-838/,ReNew Riverview,"99 N Main St, Memphis, TN 38103",(844) 388-3347,https://www.apartments.com/renew-riverview-memphis-tn/vlt2xgg/
https://www.apartments.com/memphis-tn-38103/320-to-838/,Iris,"810 Washington Ave, Memphis, TN 38105",(901) 244-7340,https://www.apartments.com/iris-memphis-tn/yqne6lv/
https://www.apartments.com/memphis-tn-38103/320-to-838/,Helix At The District - UTILITIES INCLUDED,"141 Manassas St, Memphis, TN 38105",(844) 274-4576,https://www.apartments.com/helix-at-the-district-utilities-included-memphis-tn/brgzxk9/
https://www.apartments.com/memphis-tn-38103/320-to-838/,ReNew Riverview,"99 N Main St, Memphis, TN 38103",(844) 388-3347,https://www.apartments.com/renew-riverview-memphis-tn/vlt2xgg/
https://www.apartments.com/memphis-tn-38103/320-to-838/,Iris,"810 Washington Ave, Memphis, TN 38105",(901) 244-7340,https://www.apartments.com/iris-memphis-tn/yqne6lv/
https://www.apartments.com/memphis-tn-38104/320-to-838/,The Gilmore,"6 S McLean Blvd, Memphis, TN 38104",(731) 201-2284,https://www.apartments.com/the-gilmore-memphis-tn/qskm9mz/
https://www.apartments.com/memphis-tn-38104/320-to-838/,The Broadmoor Apartments,"290 S Cleveland St, Memphis, TN 38104",(844) 245-1305,https://www.apartments.com/the-broadmoor-apartments-memphis-tn/9nks7q5/
https://www.apartments.com/memphis-tn-38104/320-to-838/,The Pulse Apartments,"57 N Somerville St, Memphis, TN 38104",(901) 473-3966,https://www.apartments.com/the-pulse-apartments-memphis-tn/xynjgrp/
https://www.apartments.com/memphis-tn-38104/320-to-838/,Audubon Downs,"2639 Central Ave, Memphis, TN 38104",(731) 499-8616,https://www.apartments.com/audubon-downs-memphis-tn/dhyyxxj/
https://www.apartments.com/savannah-ga-31401/560-to-1198/,The Hue,"646 W Bay St, Savannah, GA 31401",(267) 669-5604,https://www.apartments.com/the-hue-savannah-ga/bns1dvc/
https://www.apartments.com/savannah-ga-31401/560-to-1198/,The Hue,"646 W Bay St, Savannah, GA 31401",(267) 669-5604,https://www.apartments.com/the-hue-savannah-ga/bns1dvc/
https://www.apartments.com/savannah-ga-31404/560-to-1198/,2800 Capital Square,"2800 Capital St, Savannah, GA 31404",(912) 659-1177,https://www.apartments.com/2800-capital-square-savannah-ga/3yb3wxf/
https://www.apartments.com/savannah-ga-31404/560-to-1198/,Savannah Gardens,"515 Pennsylvania Ave, Savannah, GA 31404",(912) 232-0407,https://www.apartments.com/savannah-gardens-savannah-ga/f7697wt/
https://www.apartments.com/savannah-ga-31404/560-to-1198/,Ascend Midtown,"2200 E Victory Dr, Savannah, GA 31404",(912) 232-0407,https://www.apartments.com/ascend-midtown-savannah-ga/xv1qvcq/
https://www.apartments.com/savannah-ga-31404/560-to-1198/,Chelsea at Five Points Apartments,"1910 Skidaway Rd, Savannah, GA 31404",(912) 238-0875,https://www.apartments.com/chelsea-at-five-points-apartments-savannah-ga/ktfsly9/
https://www.apartments.com/tempe-az-85282/560-to-1198/,Onnix Apartments,"1500 E Broadway Rd, Tempe, AZ 85282",(844) 564-2275,https://www.apartments.com/onnix-apartments-tempe-az/sy11z05/
https://www.apartments.com/tempe-az-85281/560-to-1198/,Riverside,"625 W 1st St, Tempe, AZ 85281",(844) 271-8831,https://www.apartments.com/riverside-tempe-az/6mmsw5s/
https://www.apartments.com/tempe-az-85281/560-to-1198/,Riverside,"625 W 1st St, Tempe, AZ 85281",(844) 271-8831,https://www.apartments.com/riverside-tempe-az/6mmsw5s/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Independence Place- Military Housing,"1534 Antietam Dr, Columbus, GA 31907",(706) 663-3011,https://www.apartments.com/independence-place-military-housing-columbus-ga/6vplkls/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Riverwalk Townhomes,"2550 Wedgefield Ct, Columbus, GA 31903",(706) 494-3876,https://www.apartments.com/riverwalk-townhomes-columbus-ga/3qecv7f/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Mason Drive,"26 Mason Dr, Columbus, GA 31903",(706) 663-3011,https://www.apartments.com/mason-drive-columbus-ga/925q687/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Marathon Apartments,"3400 Marathon Dr, Columbus, GA 31903",(706) 393-6237,https://www.apartments.com/marathon-apartments-columbus-ga/kc15y98/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Avalon Apartment - Income Restricted,"3737 Cusseta Rd, Columbus, GA 31903",(706) 322-6553,https://www.apartments.com/avalon-apartment-income-restricted-columbus-ga/3w3q5mg/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Columbus Crossing,"3909 Baker Plaza Dr, Columbus, GA 31903",(706) 323-2331,https://www.apartments.com/columbus-crossing-columbus-ga/mfhkk0h/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Arbor Pointe,"1312 Gazebo Way, Columbus, GA 31903",(321) 948-1010,https://www.apartments.com/arbor-pointe-columbus-ga/xp4ye1q/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Lumpkin Park Apartments,"3351 N Lumpkin Rd, Columbus, GA 31903",(706) 322-6553,https://www.apartments.com/lumpkin-park-apartments-columbus-ga/pb4g65v/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Parkway Place,"1110 Farr Rd, Columbus, GA 31907",(706) 596-1339,https://www.apartments.com/parkway-place-columbus-ga/rqlxzm0/
https://www.apartments.com/san-antonio-tx-78201/320-to-838/,Woods of Brookhollow,"3253 Hillcrest Dr, San Antonio, TX 78201",(844) 401-7014,https://www.apartments.com/woods-of-brookhollow-san-antonio-tx/51qwkpq/
https://www.apartments.com/columbus-ga-31901/400-to-1000/,Ashley Station,"2321 Olive St, Columbus, GA 31904",(334) 384-0743,https://www.apartments.com/ashley-station-columbus-ga/jzjmzq7/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Independence Place- Military Housing,"1534 Antietam Dr, Columbus, GA 31907",(706) 663-3011,https://www.apartments.com/independence-place-military-housing-columbus-ga/6vplkls/
https://www.apartments.com/san-antonio-tx-78201/320-to-838/,Barcelo,"3501 Pin Oak Dr, San Antonio, TX 78229",(844) 892-9215,https://www.apartments.com/barcelo-san-antonio-tx/pxemqks/
https://www.apartments.com/san-antonio-tx-78201/320-to-838/,Melia,"3431 Oakdale St, San Antonio, TX 78229",(844) 887-0693,https://www.apartments.com/melia-san-antonio-tx/94wckf6/
https://www.apartments.com/san-antonio-tx-78201/320-to-838/,Balcones Urban Flats,"4210 Fredericksburg Rd, Balcones Heights, TX 78201",(844) 692-7526,https://www.apartments.com/balcones-urban-flats-balcones-heights-tx/ysf1j4r/
https://www.apartments.com/san-antonio-tx-78201/320-to-838/,The Sorento,"2803 Fredericksburg Rd, San Antonio, TX 78201",(844) 836-7816,https://www.apartments.com/the-sorento-san-antonio-tx/7qh0ynx/
https://www.apartments.com/columbus-ga-31901/400-to-1000/,Riverfront Place - The Rapids,"1339 Front Ave, Columbus, GA 31901",(404) 855-2076,https://www.apartments.com/riverfront-place-the-rapids-columbus-ga/n6n8dcq/
https://www.apartments.com/columbus-ga-31901/400-to-1000/,Village On Cherokee Apartments,"3113 Cherokee Ave, Columbus, GA 31906",(706) 596-1339,https://www.apartments.com/village-on-cherokee-apartments-columbus-ga/kj1fhw8/
https://www.apartments.com/columbus-ga-31901/400-to-1000/,Le Craw on 13th street,"1918 13th St, Columbus, GA 31906",(706) 391-4310,https://www.apartments.com/le-craw-on-13th-street-columbus-ga/gkl296w/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Riverwalk Townhomes,"2550 Wedgefield Ct, Columbus, GA 31903",(706) 494-3876,https://www.apartments.com/riverwalk-townhomes-columbus-ga/3qecv7f/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Mason Drive,"26 Mason Dr, Columbus, GA 31903",(706) 663-3011,https://www.apartments.com/mason-drive-columbus-ga/925q687/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Marathon Apartments,"3400 Marathon Dr, Columbus, GA 31903",(706) 393-6237,https://www.apartments.com/marathon-apartments-columbus-ga/kc15y98/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Avalon Apartment - Income Restricted,"3737 Cusseta Rd, Columbus, GA 31903",(706) 322-6553,https://www.apartments.com/avalon-apartment-income-restricted-columbus-ga/3w3q5mg/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Columbus Crossing,"3909 Baker Plaza Dr, Columbus, GA 31903",(706) 323-2331,https://www.apartments.com/columbus-crossing-columbus-ga/mfhkk0h/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Arbor Pointe,"1312 Gazebo Way, Columbus, GA 31903",(321) 948-1010,https://www.apartments.com/arbor-pointe-columbus-ga/xp4ye1q/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Lumpkin Park Apartments,"3351 N Lumpkin Rd, Columbus, GA 31903",(706) 322-6553,https://www.apartments.com/lumpkin-park-apartments-columbus-ga/pb4g65v/
https://www.apartments.com/columbus-ga-31903/400-to-1000/,Parkway Place,"1110 Farr Rd, Columbus, GA 31907",(706) 596-1339,https://www.apartments.com/parkway-place-columbus-ga/rqlxzm0/
https://www.apartments.com/san-antonio-tx-78201/320-to-838/,Woods of Brookhollow,"3253 Hillcrest Dr, San Antonio, TX 78201",(844) 401-7014,https://www.apartments.com/woods-of-brookhollow-san-antonio-tx/51qwkpq/
https://www.apartments.com/san-antonio-tx-78201/320-to-838/,Barcelo,"3501 Pin Oak Dr, San Antonio, TX 78229",(844) 892-9215,https://www.apartments.com/barcelo-san-antonio-tx/pxemqks/
https://www.apartments.com/san-antonio-tx-78201/320-to-838/,Melia,"3431 Oakdale St, San Antonio, TX 78229",(844) 887-0693,https://www.apartments.com/melia-san-antonio-tx/94wckf6/
https://www.apartments.com/san-antonio-tx-78201/320-to-838/,Balcones Urban Flats,"4210 Fredericksburg Rd, Balcones Heights, TX 78201",(844) 692-7526,https://www.apartments.com/balcones-urban-flats-balcones-heights-tx/ysf1j4r/
https://www.apartments.com/san-antonio-tx-78201/320-to-838/,The Sorento,"2803 Fredericksburg Rd, San Antonio, TX 78201",(844) 836-7816,https://www.apartments.com/the-sorento-san-antonio-tx/7qh0ynx/
https://www.apartments.com/newark-nj-07105/400-to-1000/,Cobalt Lofts,"1200 S 5th St, Harrison, NJ 07029",(973) 947-4001,https://www.apartments.com/cobalt-lofts-harrison-nj/edk585p/
https://www.apartments.com/newark-nj-07105/400-to-1000/,Steel Works,"1200 Frank E. Rodgers Blvd S, Harrison, NJ 07029",(855) 882-2771,https://www.apartments.com/steel-works-harrison-nj/r65l8v3/
https://www.apartments.com/newark-nj-07105/400-to-1000/,Knox @ 100 Polk St,"100 Polk St, Newark, NJ 07105",(973) 869-5210,https://www.apartments.com/knox-100-polk-st-newark-nj/wqw4v4h/
https://www.apartments.com/newark-nj-07105/400-to-1000/,Main St Commons,"100 Main St, Newark, NJ 07105",(973) 420-5317,https://www.apartments.com/main-st-commons-newark-nj/g7y2tly/
https://www.apartments.com/newark-nj-07102/400-to-1000/,The William House,"45-53 William St, Newark, NJ 07102",(347) 378-9534,https://www.apartments.com/the-william-house-newark-nj/z4xqb9x/
https://www.apartments.com/newark-nj-07102/400-to-1000/,Dey & Bergen,"1 Bergen St, Harrison, NJ 07029",(844) 816-9016,https://www.apartments.com/dey-bergen-harrison-nj/klq5j29/
